Table	Row	Originally hidden
DT_NewShopItem	Deagle Base Ifiree	False
DT_NewShopItem	Dragunov Base Shadow	False
DT_NewShopItem	Bundle Glock17 Abstract	False
DT_NewShopItem	Operator DefaultSkin	False
DT_NewShopItem	M1911 Slide Western	False
DT_NewShopItem	MP5 Base Bloody Mary	False
DT_NewShopItem	MP5 Base Ifriee	False
DT_NewShopItem	Bundle UMP Base Ifriee	False
DT_NewShopItem	Bundle AK47 Bandage	False
DT_NewShopItem	Bundle M1911 BTK	False
DT_NewShopItem	Deagle Base Barbeled	False
DT_NewShopItem	Dragunov Base WW1 White	True
DT_NewShopItem	Dragunov Base WW1 Black	True
DT_NewShopItem	Bundle M4A1 Base Joker	False
DT_NewShopItem	Bundle MP5 Wooden	False
DT_NewShopItem	Bundle Mossberg590 Base Drawing	False
DT_NewShopItem	Operator Bravo	False
DT_NewShopItem	Operator Delta	False
DT_NewShopItem	Operator Echo	False
DT_NewShopItem	Operator Foxtrot	False
DT_NewShopItem	Operator Golf	False
DT_NewShopItem	Operator Juliet	False
DT_NewShopItem	Operator Mike	False
DT_NewShopItem	Operator Papa	False
DT_NewShopItem	Operator Quebec	False
DT_NewShopItem	Operator Romeo	False
DT_NewShopItem	Operator Tango	False
DT_NewShopItem	Operator Uniform	False
DT_NewShopItem	Operator Victor	False
DT_NewShopItem	Operator Oscar	False
DT_NewShopItem	Operator Whiskey	False
DT_NewShopItem	Operator Yankee	False
DT_NewShopItem	Operator Lima	False
DT_NewShopItem	Operator Hotel	False
DT_NewShopItem	Operator Dark Cream	False
DT_NewShopItem	Operator Blood Moon	False
DT_NewShopItem	Operator Ash	False
DT_NewShopItem	Operator White Liquid	False
DT_NewShopItem	Operator Snow Runner	False
DT_NewShopItem	Operator Texas	False
DT_NewShopItem	Operator BCPD Moon	False
DT_NewShopItem	Operator BCPD Runner	False
DT_NewShopItem	Operator Gas Punish	False
DT_NewShopItem	Operator Gunner 01	False
DT_NewShopItem	Operator Gunner 02	False
DT_NewShopItem	Operator Cap 01	False
DT_NewShopItem	Operator Cap 02	False
DT_NewShopItem	Operator Cap 03	False
DT_NewShopItem	Operator Radio	False
DT_NewShopItem	Operator Radio 2	False
DT_NewShopItem	Operator Executioner Hallowhen	False
DT_NewShopItem	Operator Executioner Punish	False
DT_NewShopItem	Operator Executioner Dust	False
DT_NewShopItem	Operator Cap Dust	False
DT_NewShopItem	Operator Jess	False
DT_NewShopItem	Operator Usa 01	False
DT_NewShopItem	Operator Usa 02	False
DT_NewShopItem	Operator France 01	False
DT_NewShopItem	Operator France 02	False
DT_NewShopItem	Operator Ukraine 01	False
DT_NewShopItem	Operator Canada 01	False
DT_NewShopItem	Operator BadBoy	False
DT_NewShopItem	Operator Blood Moon 02	False
DT_NewShopItem	Badge Rookie S0	False
DT_NewShopItem	Badge Soldat S0	False
DT_NewShopItem	Badge Caporal S0	False
DT_NewShopItem	Badge Sergent S0	False
DT_NewShopItem	Badge Major S0	False
DT_NewShopItem	Badge Colonel S0	False
DT_NewShopItem	Badge General S0	False
DT_NewShopItem	Badge Reissad S0	False
DT_NewShopItem	Bundle Fostech Chroma	False
DT_NewShopItem	Mossberg590 Stock Fabarm Classic	False
DT_NewShopItem	Bundle Scar-H Base soldier	False
DT_NewShopItem	Bundle Fostech Leopard	False
DT_NewShopItem	Bundle Scar-H Base Ticket To Hell	False
DT_NewShopItem	Bundle Fostech Soldier	False
DT_NewShopItem	Bundle FNFAL Dirty	False
DT_NewShopItem	Bundle Fostech Dirty	False
DT_NewShopItem	Bundle Mossberg590 Base Dirty	False
DT_NewShopItem	Revolver Base Dirty	False
DT_NewShopItem	Bundle UMP Base Dirty	False
DT_NewShopItem	Operator GIGN	False
DT_NewShopItem	Operator Tchernobyl	False
DT_NewShopItem	Operator Tchernobyl 1	False
DT_NewShopItem	Operator Tchernobyl 2	False
DT_NewShopItem	Operator Tchernobyl 3	False
DT_NewShopItem	Operator Ultra Heavy	False
DT_NewShopItem	Flag ae	False
DT_NewShopItem	Flag af	False
DT_NewShopItem	Flag ax	False
DT_NewShopItem	Flag al	False
DT_NewShopItem	Flag dz	False
DT_NewShopItem	Flag as	False
DT_NewShopItem	Flag ad	False
DT_NewShopItem	Flag ao	False
DT_NewShopItem	Flag ai	False
DT_NewShopItem	Flag aq	False
DT_NewShopItem	Flag ag	False
DT_NewShopItem	Flag ar	False
DT_NewShopItem	Flag am	False
DT_NewShopItem	Flag aw	False
DT_NewShopItem	Flag au	False
DT_NewShopItem	Flag at	False
DT_NewShopItem	Flag az	False
DT_NewShopItem	Flag bs	False
DT_NewShopItem	Flag bh	False
DT_NewShopItem	Flag bd	False
DT_NewShopItem	Flag bb	False
DT_NewShopItem	Flag by	False
DT_NewShopItem	Flag be	False
DT_NewShopItem	Flag bz	False
DT_NewShopItem	Flag bj	False
DT_NewShopItem	Flag bm	False
DT_NewShopItem	Flag bt	False
DT_NewShopItem	Flag bo	False
DT_NewShopItem	Flag ba	False
DT_NewShopItem	Flag bw	False
DT_NewShopItem	Flag bv	False
DT_NewShopItem	Flag br	False
DT_NewShopItem	Flag io	False
DT_NewShopItem	Flag bn	False
DT_NewShopItem	Flag bg	False
DT_NewShopItem	Flag bf	False
DT_NewShopItem	Flag bi	False
DT_NewShopItem	Flag kh	False
DT_NewShopItem	Flag cm	False
DT_NewShopItem	Flag ca	False
DT_NewShopItem	Flag cv	False
DT_NewShopItem	Flag bq	False
DT_NewShopItem	Flag ky	False
DT_NewShopItem	Flag cf	False
DT_NewShopItem	Flag td	False
DT_NewShopItem	Flag cl	False
DT_NewShopItem	Flag cn	False
DT_NewShopItem	Flag cx	False
DT_NewShopItem	Flag cc	False
DT_NewShopItem	Flag co	False
DT_NewShopItem	Flag km	False
DT_NewShopItem	Flag cg	False
DT_NewShopItem	Flag cd	False
DT_NewShopItem	Flag ck	False
DT_NewShopItem	Flag cr	False
DT_NewShopItem	Flag ci	False
DT_NewShopItem	Flag hr	False
DT_NewShopItem	Flag cu	False
DT_NewShopItem	Flag cw	False
DT_NewShopItem	Flag cy	False
DT_NewShopItem	Flag cz	False
DT_NewShopItem	Flag dk	False
DT_NewShopItem	Flag dj	False
DT_NewShopItem	Flag dm	False
DT_NewShopItem	Flag do	False
DT_NewShopItem	Flag ec	False
DT_NewShopItem	Flag eg	False
DT_NewShopItem	Flag sv	False
DT_NewShopItem	Flag fk	False
DT_NewShopItem	Flag fo	False
DT_NewShopItem	Flag fj	False
DT_NewShopItem	Flag fi	False
DT_NewShopItem	Flag fr	False
DT_NewShopItem	Flag gf	False
DT_NewShopItem	Flag pf	False
DT_NewShopItem	Flag tf	False
DT_NewShopItem	Flag ga	False
DT_NewShopItem	Flag gm	False
DT_NewShopItem	Flag ge	False
DT_NewShopItem	Flag de	False
DT_NewShopItem	Flag gh	False
DT_NewShopItem	Flag gi	False
DT_NewShopItem	Flag gr	False
DT_NewShopItem	Flag gl	False
DT_NewShopItem	Flag gd	False
DT_NewShopItem	Flag gp	False
DT_NewShopItem	Flag gu	False
DT_NewShopItem	Flag gt	False
DT_NewShopItem	Flag gg	False
DT_NewShopItem	Flag gn	False
DT_NewShopItem	Flag gw	False
DT_NewShopItem	Flag gy	False
DT_NewShopItem	Flag ht	False
DT_NewShopItem	Flag hm	False
DT_NewShopItem	Flag hn	False
DT_NewShopItem	Flag hk	False
DT_NewShopItem	Flag hu	False
DT_NewShopItem	Flag is	False
DT_NewShopItem	Flag in	False
DT_NewShopItem	Flag id	False
DT_NewShopItem	Flag ir	False
DT_NewShopItem	Flag iq	False
DT_NewShopItem	Flag ie	False
DT_NewShopItem	Flag im	False
DT_NewShopItem	Flag il	False
DT_NewShopItem	Flag it	False
DT_NewShopItem	Flag jm	False
DT_NewShopItem	Flag jp	False
DT_NewShopItem	Flag je	False
DT_NewShopItem	Flag jo	False
DT_NewShopItem	Flag kz	False
DT_NewShopItem	Flag ke	False
DT_NewShopItem	Flag ki	False
DT_NewShopItem	Flag kp	False
DT_NewShopItem	Flag kr	False
DT_NewShopItem	Flag xk	False
DT_NewShopItem	Flag kw	False
DT_NewShopItem	Flag kg	False
DT_NewShopItem	Flag la	False
DT_NewShopItem	Flag lv	False
DT_NewShopItem	Flag lb	False
DT_NewShopItem	Flag ls	False
DT_NewShopItem	Flag lr	False
DT_NewShopItem	Flag ly	False
DT_NewShopItem	Flag li	False
DT_NewShopItem	Flag lt	False
DT_NewShopItem	Flag lu	False
DT_NewShopItem	Flag mo	False
DT_NewShopItem	Flag mg	False
DT_NewShopItem	Flag mw	False
DT_NewShopItem	Flag my	False
DT_NewShopItem	Flag mv	False
DT_NewShopItem	Flag ml	False
DT_NewShopItem	Flag mt	False
DT_NewShopItem	Flag mh	False
DT_NewShopItem	Flag mq	False
DT_NewShopItem	Flag mr	False
DT_NewShopItem	Flag mu	False
DT_NewShopItem	Flag yt	False
DT_NewShopItem	Flag mx	False
DT_NewShopItem	Flag fm	False
DT_NewShopItem	Flag md	False
DT_NewShopItem	Flag mc	False
DT_NewShopItem	Flag mn	False
DT_NewShopItem	Flag me	False
DT_NewShopItem	Flag ms	False
DT_NewShopItem	Flag ma	False
DT_NewShopItem	Flag mz	False
DT_NewShopItem	Flag mm	False
DT_NewShopItem	Flag na	False
DT_NewShopItem	Flag nr	False
DT_NewShopItem	Flag np	False
DT_NewShopItem	Flag nl	False
DT_NewShopItem	Flag nc	False
DT_NewShopItem	Flag nz	False
DT_NewShopItem	Flag ni	False
DT_NewShopItem	Flag ne	False
DT_NewShopItem	Flag ng	False
DT_NewShopItem	Flag nu	False
DT_NewShopItem	Flag nf	False
DT_NewShopItem	Flag mk	False
DT_NewShopItem	Flag mp	False
DT_NewShopItem	Flag no	False
DT_NewShopItem	Flag om	False
DT_NewShopItem	Flag pk	False
DT_NewShopItem	Flag pw	False
DT_NewShopItem	Flag ps	False
DT_NewShopItem	Flag pa	False
DT_NewShopItem	Flag pg	False
DT_NewShopItem	Flag py	False
DT_NewShopItem	Flag pe	False
DT_NewShopItem	Flag ph	False
DT_NewShopItem	Flag pn	False
DT_NewShopItem	Flag pl	False
DT_NewShopItem	Flag pt	False
DT_NewShopItem	Flag pr	False
DT_NewShopItem	Flag qa	False
DT_NewShopItem	Flag re	False
DT_NewShopItem	Flag ro	False
DT_NewShopItem	Flag ru	False
DT_NewShopItem	Flag rw	False
DT_NewShopItem	Flag bl	False
DT_NewShopItem	Flag sh	False
DT_NewShopItem	Flag kn	False
DT_NewShopItem	Flag lc	False
DT_NewShopItem	Flag mf	False
DT_NewShopItem	Flag pm	False
DT_NewShopItem	Flag VCT	False
DT_NewShopItem	Flag WSM	False
DT_NewShopItem	Flag sm	False
DT_NewShopItem	Flag st	False
DT_NewShopItem	Flag sa	False
DT_NewShopItem	Flag sn	False
DT_NewShopItem	Flag rs	False
DT_NewShopItem	Flag sc	False
DT_NewShopItem	Flag sl	False
DT_NewShopItem	Flag sg	False
DT_NewShopItem	Flag sx	False
DT_NewShopItem	Flag sk	False
DT_NewShopItem	Flag si	False
DT_NewShopItem	Flag sb	False
DT_NewShopItem	Flag so	False
DT_NewShopItem	Flag za	False
DT_NewShopItem	Flag gs	False
DT_NewShopItem	Flag ss	False
DT_NewShopItem	Flag es	False
DT_NewShopItem	Flag lk	False
DT_NewShopItem	Flag sd	False
DT_NewShopItem	Flag sr	False
DT_NewShopItem	Flag sj	False
DT_NewShopItem	Flag se	False
DT_NewShopItem	Flag ch	False
DT_NewShopItem	Flag sy	False
DT_NewShopItem	Flag tw	False
DT_NewShopItem	Flag tz	False
DT_NewShopItem	Flag th	False
DT_NewShopItem	Flag tl	False
DT_NewShopItem	Flag tg	False
DT_NewShopItem	Flag tk	False
DT_NewShopItem	Flag to	False
DT_NewShopItem	Flag tt	False
DT_NewShopItem	Flag tn	False
DT_NewShopItem	Flag tr	False
DT_NewShopItem	Flag tm	False
DT_NewShopItem	Flag tc	False
DT_NewShopItem	Flag tv	False
DT_NewShopItem	Flag ug	False
DT_NewShopItem	Flag ua	False
DT_NewShopItem	Flag gb	False
DT_NewShopItem	Flag us	False
DT_NewShopItem	Flag um	False
DT_NewShopItem	Flag uy	False
DT_NewShopItem	Flag uz	False
DT_NewShopItem	Flag va	False
DT_NewShopItem	Flag ve	False
DT_NewShopItem	Flag vg	False
DT_NewShopItem	Flag vi	False
DT_NewShopItem	Flag vn	False
DT_NewShopItem	Flag vu	False
DT_NewShopItem	Flag wf	False
DT_NewShopItem	Flag ye	False
DT_NewShopItem	Flag zm	False
DT_NewShopItem	Flag zw	False
DT_NewShopItem	Operator Air Force One	False
DT_NewShopItem	Operator Air Force Two	False
DT_NewShopItem	Operator Camping	False
DT_NewShopItem	Operator ChillGuy	False
DT_NewShopItem	Operator Civil	False
DT_NewShopItem	Operator Commando	False
DT_NewShopItem	Operator Executionner White	False
DT_NewShopItem	Operator Fly	False
DT_NewShopItem	Operator Fly White	False
DT_NewShopItem	Operator Ghost	False
DT_NewShopItem	Operator Johnny	False
DT_NewShopItem	Operator Khalid	False
DT_NewShopItem	Operator Light	False
DT_NewShopItem	Operator Lumberjack	False
DT_NewShopItem	Operator Navy	False
DT_NewShopItem	Operator Operator	False
DT_NewShopItem	Operator Phantom	False
DT_NewShopItem	Operator Phantom Classic	False
DT_NewShopItem	Operator Police	False
DT_NewShopItem	Operator Private Assasin	False
DT_NewShopItem	Operator Reaper	False
DT_NewShopItem	Operator Russia	False
DT_NewShopItem	Operator Russia 02	False
DT_NewShopItem	Operator Scientific	False
DT_NewShopItem	Operator Survivor	False
DT_NewShopItem	Operator Tariq	False
DT_NewShopItem	Operator Winter Solider	False
DT_NewShopItem	Operator Zbr	False
DT_NewShopItem	Operator Australian	False
DT_NewShopItem	Operator Climber	False
DT_NewShopItem	Operator Gangster	False
DT_NewShopItem	Operator Ghillie	False
DT_NewShopItem	Operator Houari	False
DT_NewShopItem	Operator Phantom Light	False
DT_NewShopItem	Operator Phantom Forest	False
DT_NewShopItem	Uzi Base Electric	False
DT_NewShopItem	Operator Soldat S2	False
DT_NewShopItem	Operator Caporal S2	False
DT_NewShopItem	Operator Sergent S2	False
DT_NewShopItem	Operator Major S2	False
DT_NewShopItem	Operator Colonel S2	False
DT_NewShopItem	Operator General S2	False
DT_NewShopItem	Operator Reissad S2	False
DT_NewShopItem	Deagle Base Leaf	False
DT_NewShopItem	Deagle Base Snow	False
DT_NewShopItem	Deagle Base Woodchips	False
DT_NewShopItem	Deagle Base Night	False
DT_NewShopItem	Deagle Base Soil	False
DT_NewShopItem	Deagle Base Cracked	False
DT_NewShopItem	Deagle Base Rust	False
DT_NewShopItem	Deagle Base Infantry	False
DT_NewShopItem	Deagle Base Blue Pixel	False
DT_NewShopItem	Deagle Base Research	False
DT_NewShopItem	Deagle Base Winter	False
DT_NewShopItem	Deagle Base Pond	False
DT_NewShopItem	Deagle Base Sand	False
DT_NewShopItem	Dragunov Base Leaf	False
DT_NewShopItem	Dragunov Base Snow	False
DT_NewShopItem	Dragunov Base Woodchips	False
DT_NewShopItem	Dragunov Base Night	False
DT_NewShopItem	Dragunov Base Soil	False
DT_NewShopItem	Dragunov Base Cracked	False
DT_NewShopItem	Dragunov Base Rust	False
DT_NewShopItem	Dragunov Base Infantry	False
DT_NewShopItem	Dragunov Base Blue Pixel	False
DT_NewShopItem	Dragunov Base Research	False
DT_NewShopItem	Dragunov Base Winter	False
DT_NewShopItem	Dragunov Base Pond	False
DT_NewShopItem	Dragunov Base Sand	False
DT_NewShopItem	FNFAL Base Leaf	False
DT_NewShopItem	FNFAL Base Snow	False
DT_NewShopItem	FNFAL Base Woodchips	False
DT_NewShopItem	FNFAL Base Night	False
DT_NewShopItem	FNFAL Base Soil	False
DT_NewShopItem	FNFAL Base Cracked	False
DT_NewShopItem	FNFAL Base Rust	False
DT_NewShopItem	FNFAL Base Infantry	False
DT_NewShopItem	FNFAL Base Blue Pixel	False
DT_NewShopItem	FNFAL Base Research	False
DT_NewShopItem	FNFAL Base Winter	False
DT_NewShopItem	FNFAL Base Pond	False
DT_NewShopItem	FNFAL Base Sand	False
DT_NewShopItem	Fostech Base Leaf	False
DT_NewShopItem	Fostech Base Snow	False
DT_NewShopItem	Fostech Base Woodchips	False
DT_NewShopItem	Fostech Base Night	False
DT_NewShopItem	Fostech Base Soil	False
DT_NewShopItem	Fostech Base Cracked	False
DT_NewShopItem	Fostech Base Rust	False
DT_NewShopItem	Fostech Base Infantry	False
DT_NewShopItem	Fostech Base Blue Pixel	False
DT_NewShopItem	Fostech Base Research	False
DT_NewShopItem	Fostech Base Winter	False
DT_NewShopItem	Fostech Base Pond	False
DT_NewShopItem	Fostech Base Sand	False
DT_NewShopItem	Glock17 Leaf	False
DT_NewShopItem	Glock17 Snow	False
DT_NewShopItem	Glock17 Base Woodchips	False
DT_NewShopItem	Glock17 Night	False
DT_NewShopItem	Glock17 Base Soil	False
DT_NewShopItem	Glock17 Cracked	False
DT_NewShopItem	Glock17 Rust	False
DT_NewShopItem	Glock17 Base Infantry	False
DT_NewShopItem	Bundle Glock17 Blue Pixel	False
DT_NewShopItem	Glock17 Research	False
DT_NewShopItem	Bundle Glock17 Winter	False
DT_NewShopItem	Glock17 Pond	False
DT_NewShopItem	Glock17 Sand	False
DT_NewShopItem	Kobra Slide Leaf	False
DT_NewShopItem	Kobra Base Snow	False
DT_NewShopItem	Kobra Slide Woodchips	False
DT_NewShopItem	Kobra Slide Night	False
DT_NewShopItem	Kobra Slide Soil	False
DT_NewShopItem	Kobra Slide Cracked	False
DT_NewShopItem	Kobra Slide Rust	False
DT_NewShopItem	Kobra Slide Infantry	False
DT_NewShopItem	Kobra Slide BluePixel	False
DT_NewShopItem	Kobra Slide Research	False
DT_NewShopItem	Kobra Slide Winter	False
DT_NewShopItem	Kobra Slide Pond	False
DT_NewShopItem	Kobra Slide Sand	False
DT_NewShopItem	M1911 Slide Leaf	False
DT_NewShopItem	M1911 Slide Snow	False
DT_NewShopItem	M1911 Slide Woodchips	False
DT_NewShopItem	M1911 Slide Night	False
DT_NewShopItem	M1911 Slide Soil	False
DT_NewShopItem	M1911 Slide Cracked	False
DT_NewShopItem	M1911 Slide Rust	False
DT_NewShopItem	M1911 Slide Infantry	False
DT_NewShopItem	M1911 Slide Blue Pixel	False
DT_NewShopItem	M1911 Slide Research	False
DT_NewShopItem	M1911 Slide Winter	False
DT_NewShopItem	Mossberg590 Base Leaf	False
DT_NewShopItem	Mossberg590 Base Snow	False
DT_NewShopItem	Mossberg590 Base Woodchips	False
DT_NewShopItem	Mossberg590 Base Night	False
DT_NewShopItem	Mossberg590 Base Soil	False
DT_NewShopItem	Mossberg590 Base Cracked	False
DT_NewShopItem	Mossberg590 Base Rust	False
DT_NewShopItem	Mossberg590 Base Infantry	False
DT_NewShopItem	Mossberg590 Base Blue Pixel	False
DT_NewShopItem	Mossberg590 Base Research	False
DT_NewShopItem	Mossberg590 Base Winter	False
DT_NewShopItem	Mossberg590 Base Pond	False
DT_NewShopItem	Mossberg590 Base Sand	False
DT_NewShopItem	Uzi Base Leaf	False
DT_NewShopItem	Uzi Base Snow	False
DT_NewShopItem	Uzi Base Woodchips	False
DT_NewShopItem	Uzi Base Night	False
DT_NewShopItem	Uzi Base Soil	False
DT_NewShopItem	Uzi Base Cracked	False
DT_NewShopItem	Uzi Base Rust	False
DT_NewShopItem	Uzi Base Infantry	False
DT_NewShopItem	Uzi Base Blue Pixel	False
DT_NewShopItem	Uzi Base Research	False
DT_NewShopItem	Uzi Base Winter	False
DT_NewShopItem	Uzi Base Pond	False
DT_NewShopItem	Uzi Base Sand	False
DT_NewShopItem	Revolver Base Leaf	False
DT_NewShopItem	Revolver Base Snow	False
DT_NewShopItem	Revolver Base Woodchips	False
DT_NewShopItem	Revolver Base Night	False
DT_NewShopItem	Revolver Base Soil	False
DT_NewShopItem	Revolver Base Cracked	False
DT_NewShopItem	Revolver Base Rust	False
DT_NewShopItem	Revolver Base Infantry	False
DT_NewShopItem	Revolver Base Blue Pixel	False
DT_NewShopItem	Revolver Base Research	False
DT_NewShopItem	Revolver Base Winter	False
DT_NewShopItem	Revolver Base Pond	False
DT_NewShopItem	Revolver Base Sand	False
DT_NewShopItem	Operator FBazook	False
DT_NewShopItem	Operator Infiltrate	False
DT_NewShopItem	Operator Jean Paul	False
DT_NewShopItem	Operator Midnight Blue	False
DT_NewShopItem	Operator Pitiver	False
DT_NewShopItem	Operator Tan	False
DT_NewShopItem	Operator Torrent	False
DT_NewShopItem	Operator Shadow	False
DT_NewShopItem	Grenade Flash	False
DT_NewShopItem	Grenade G67	False
DT_NewShopItem	Grenade G68	False
DT_NewShopItem	Optic Magnifier 1x	True
DT_NewShopItem	Optic Panorama Orange	False
DT_NewShopItem	Muzzle AI Sound Moderator338	False
DT_NewShopItem	Muzzle AI Sound Moderator 338 Brake	False
DT_NewShopItem	Muzzle QDL	False
DT_NewShopItem	Muzzle AACSDN	False
DT_NewShopItem	Muzzle Gemtechone	False
DT_NewShopItem	Muzzle Hybrid 46	False
DT_NewShopItem	Muzzle M4SD	False
DT_NewShopItem	Muzzle Silencer M4SD Brake	False
DT_NewShopItem	Muzzle Osprey 9	False
DT_NewShopItem	Muzzle SIG SRD 9	False
DT_NewShopItem	Muzzle KAC PRS	False
DT_NewShopItem	Muzzle WAWE	False
DT_NewShopItem	Muzzle Brake WAWE	False
DT_NewShopItem	Muzzle TBA Ultra 5	False
DT_NewShopItem	Muzzle TBA Ultra 5 Brake	False
DT_NewShopItem	Muzzle Thor PSR	False
DT_NewShopItem	Muzzle Thor PSR Brake	False
DT_NewShopItem	Underbarrel cobra tactical Black	False
DT_NewShopItem	Underbarrel cobra tactical Sand	False
DT_NewShopItem	Underbarrel cobra tactical Green	False
DT_NewShopItem	Underbarrel ERGO vertical grip	False
DT_NewShopItem	Underbarrel magpul AFG	False
DT_NewShopItem	Underbarrel fortis shift vertical forward grip	False
DT_NewShopItem	Underbarrel magpul RVG	False
DT_NewShopItem	Underbarrel BCM GUNFIGHTER	False
DT_NewShopItem	Underbarrel AFG	False
DT_NewShopItem	Underbarrel Tactical Stark SE	True
DT_NewShopItem	Underbarrel Vertical Grip Tango down	False
DT_NewShopItem	Underbarrel TD Skeletonized Vertical Foregrip	False
DT_NewShopItem	Underbarrel foregripshift	False
DT_NewShopItem	Grenade Moon	True
DT_NewShopItem	Grenade N67	False
DT_NewShopItem	Grenade RGN	False
DT_NewShopItem	Flashlight baldr PRO	False
DT_NewShopItem	Siderail surefire x400 tactical	False
DT_NewShopItem	Flashlight baldr PRO Blue	False
DT_NewShopItem	Flashlight Siderail FFL-1	False
DT_NewShopItem	Scar Optic Default	False
DT_NewShopItem	Optic Detra Point Pro	False
DT_NewShopItem	Optic RETOTEC EFLX reddot sight	False
DT_NewShopItem	Optic reddot burris Fast Fire 3	False
DT_NewShopItem	Optic holo sun thermal vision	False
DT_NewShopItem	Optic reddot sight acro	True
DT_NewShopItem	Optic reddot Sig Sauer Romeo 4	True
DT_NewShopItem	Optic HAMR Leupold	False
DT_NewShopItem	Optic ROMEO 5X Red Dot	True
DT_NewShopItem	Optic ROMEO 8T Nightvision	False
DT_NewShopItem	Optic scope BRAVO 4	False
DT_NewShopItem	Optic prismscope	False
DT_NewShopItem	Optic Vortex Razor UH-1 GenII Holographic Sight	False
DT_NewShopItem	Optic Aimpoint Micro H-2	False
DT_NewShopItem	Fostech Optic Default	False
DT_NewShopItem	Ammo Gauge	False
DT_NewShopItem	Ammo BirdshotGreen	False
DT_NewShopItem	Ammo 10mm	False
DT_NewShopItem	Ammo 127mmBreda	False
DT_NewShopItem	Ammo 127x108mm	False
DT_NewShopItem	Ammo 145x114mm	False
DT_NewShopItem	Ammo 17HMR	False
DT_NewShopItem	Ammo 224VALK	False
DT_NewShopItem	Ammo 22longrifle	False
DT_NewShopItem	Ammo 243WIN	False
DT_NewShopItem	Ammo 270WIN	False
DT_NewShopItem	Ammo 30-06	False
DT_NewShopItem	Ammo 30-30Win	False
DT_NewShopItem	Ammo 300BLK	False
DT_NewShopItem	Ammo 30Carbine	False
DT_NewShopItem	Ammo 338LUPUA	False
DT_NewShopItem	Ammo 357Magnum	False
DT_NewShopItem	Ammo 380ACP	False
DT_NewShopItem	Ammo 38SPL	False
DT_NewShopItem	Ammo 404Jeffery	False
DT_NewShopItem	Ammo 40SW	False
DT_NewShopItem	Ammo 416Brrett	False
DT_NewShopItem	Ammo 416Hoffman	False
DT_NewShopItem	Ammo 45-50GOV	False
DT_NewShopItem	Ammo 458 Socom	False
DT_NewShopItem	Ammo 45ACP	False
DT_NewShopItem	Ammo 45 AC Phollowpoint	False
DT_NewShopItem	Ammo 460 Steyr	False
DT_NewShopItem	Ammo 460 Weatherbymagnum	False
DT_NewShopItem	Ammo 505 Gibs	False
DT_NewShopItem	Ammo 50 BATM48A1	False
DT_NewShopItem	Ammo 50 BMG	False
DT_NewShopItem	Ammo 55 Boys	False
DT_NewShopItem	Ammo 577 Nitro Express	False
DT_NewShopItem	Ammo 577 Tyrannosaur	False
DT_NewShopItem	Ammo 556x45mm	False
DT_NewShopItem	Ammo 57FN	False
DT_NewShopItem	Ammo 600 Nitro Express	False
DT_NewShopItem	Ammo 60 T08	False
DT_NewShopItem	Ammo 65 Grendel	False
DT_NewShopItem	Ammo 68 spc	False
DT_NewShopItem	Ammo 6mm CM	False
DT_NewShopItem	Ammo 700 Nitro Express	False
